ROW_ID,JOB_TITLE,SOC_CODE,SOC_TITLE,WORKSITE_CITY,WORKSITE_STATE,NAICS_CODE,FULL_TIME_POSITION,TOTAL_WORKER_POSITIONS,PW_WAGE_LEVEL,PREVAILING_WAGE,IS_AI,is_ai_binary,ai_confidence,JOB_CONTEXT_KEY,BLOCK_ID,n_models,mean_predicted_salary_usd,median_predicted_salary_usd,mean_overestimation_usd,median_overestimation_usd,mean_overestimation_pct_points,median_overestimation_pct_points,mean_prediction_to_actual_ratio,mean_log_prediction_minus_log_actual
1303,GEN AI Developer,15-1252.00,Software Developers,Charlotte,NC,541511,Y,1,II,112424,True,1,0.95,GEN AI Developer || 15-1252.00 || Software Developers,15-1252.00||NC||54||Y||II,10,109611.4,114459.5,-2812.6,2035.5,-2.501778979577314,1.810556464811784,0.9749822102042269,-0.04210972676836331
6655,Software Engineer,15-1252.00,Software Developers,Santa Clara,CA,334111,Y,1,IV,264514,False,0,0.15,Software Engineer || 15-1252.00 || Software Developers,15-1252.00||CA||33||Y||IV,11,200764.63636363635,150000.0,-63749.36363636364,-114514.0,-24.10056315974339,-43.292226498408404,0.7589943684025662,-0.5427084239382015
63501,UI Developer,15-1251.00,Computer Programmers,Pleasanton,CA,541511,Y,1,II,107203,False,0,0.05,UI Developer || 15-1251.00 || Computer Programmers,15-1251.00||CA||54||Y||II,12,100965.91666666667,106000.0,-6237.083333333333,-1203.0,-5.818011933745635,-1.1221700885236423,0.9418198806625436,-0.09257790109547903
76872,Senior Data Scientist,15-2041.00,Statisticians,New York,NY,541910,Y,1,III,144373,True,1,0.85,Senior Data Scientist || 15-2041.00 || Statisticians,15-2041.00||NY||54||Y||III,11,127801.0,135000.0,-16572.0,-9373.0,-11.478600569358537,-6.492211147513732,0.8852139943064146,-0.14534811973408746
106156,Web Analyst,15-2051.00,Data Scientists,San Mateo,CA,541511,Y,1,II,128398,False,0,0.15,Web Analyst || 15-2051.00 || Data Scientists,15-2051.00||CA||54||Y||II,12,102801.75,115000.0,-25596.25,-13398.0,-19.935084658639543,-10.434741974174052,0.8006491534136045,-0.25588097291616485
19413,Software Engineering Technical Leader,15-1252.00,Software Developers,San Jose,CA,334111,Y,10,III,226138,False,0,0.15,Software Engineering Technical Leader || 15-1252.00 || Software Developers,15-1252.00||CA||33||Y||III,10,220591.1,158000.0,-5546.9,-68138.0,-2.4528827530092245,-30.13115884990581,0.9754711724699078,-0.24774500218767895
89427,"Computer Software Engineer, Applications",15-1252.00,Software Developers,Longview,TX,541512,Y,1,III,108555,False,0,0.15,"Computer Software Engineer, Applications || 15-1252.00 || Software Developers",15-1252.00||TX||54||Y||III,10,90268.5,87850.0,-18286.5,-20705.0,-16.84537791902722,-19.073280825388053,0.8315462208097278,-0.19045822696371334
73226,Software Engineering LMTS,15-1252.00,Software Developers,San Francisco,CA,541511,Y,1,III,187574,False,0,0.1,Software Engineering LMTS || 15-1252.00 || Software Developers,15-1252.00||CA||54||Y||III,11,202491.9090909091,135000.0,14917.90909090909,-52574.0,7.953079366494871,-28.02840478957638,1.0795307936649488,-0.16668064191017234
103749,"Lead Associate Principal, Business Analysis",15-2051.00,Data Scientists,Dallas,TX,523999,Y,1,III,118893,False,0,0.15,"Lead Associate Principal, Business Analysis || 15-2051.00 || Data Scientists",15-2051.00||TX||52||Y||III,10,121702.2,134555.5,2809.2,15662.5,2.3627968004844693,13.173609884518012,1.0236279680048448,0.0031791308201036374
56255,"Director, Customer Success - Supply Chain AI",11-3021.00,Computer and Information Systems Managers,Anaheim,CA,541511,Y,1,II,164798,True,1,0.85,"Director, Customer Success - Supply Chain AI || 11-3021.00 || Computer and Information Systems Managers",11-3021.00||CA||54||Y||II,12,204825.91666666666,160000.0,40027.916666666664,-4798.0,24.28907915549137,-2.911443100037622,1.2428907915549137,-0.0033446061872021518
